研究,14
信息,9
媒体,8
社会科学,8
中国,7
委员,5
三等奖,5
学会,5
陕西,4
专委会,4
项目,4
西安交通大学,4
交互,4
陕西省,4
专业,4
基于,3
可视化,3
高等学校,3
中文信息,3
数字,3
传播,3
优秀成果,3
哲学,3
文化,3
社会,3
基金项目,3
西安市,3
人文,3
科研,3
计划,3
影响,3
数据分析,2
社科,2
出版社,2
基础,2
社交,2
学报,2
技术,2
教育部,2
情报工作,2
图书,2
硕士,2
规划,2
博士学位,2
网络,2
演化,2
国家自然科学基金,2
面上,2
博士,2
管理,2
情感,2
专家,2
能力,2
委员会,2
年度,2
成果奖,2
毕业生,2
融合,2
发展,2
优秀,2
研究生,2
青年,2
科技情报,2
二等奖,2
课程,2
科学出版社,1
理论,1
情报,1
因素,1
沟通,1
过程,1
再现,1
用户,1
重点,1
踏实,1
环境,1
报告,1
语言,1
图标,1
办公室,1
联系方式,1
报考,1
经济,1
抗压,1
辨别,1
逻辑思维,1
论证,1
实验,1
概念,1
标签,1
团队,1
媒介,1
获奖,1
招生,1
体验,1
信息资源管理,1
模型,1
多维度,1
第十三次,1
叠加,1
色散,1
第十一次,1
策略,1
调节作用,1
分类,1
自我,1
意愿,1
接受,1
沉浸,1
实践,1
机制,1
交互式,1
机器人,1
突发事件,1
扩散,1
民族,1
科技,1
主题,1
事件,1
热点,1
进步奖,1
第十五次,1
科学技术,1
实证,1
启动,1
文化产业,1
方法论,1
热点问题,1
透视,1
省级,1
一流,1
数据,1
时代,1
专题研究,1
方向,1
中心,1
分析,1
设计,1
数据挖掘,1
教育,1
经历,1
毕业,1
电信,1
讲授,1
创新,1
信息工程,1
支持,1
研究员,1
博士生,1
导师,1
系主任,1
入选,1
拔尖,1
人才,1
期刊,1
广播电视,1
编委会,1
会员,1
情报研究,1
咨询,1
计算,1
信息检索,1
通讯,1
学院,1
获工学,1
试验区,1
多元,1
人员,1
特聘,1
基金,1
自然科学,1
代表性,1
专著,1
论文,1
路径,1
留学,1
危机,1
时空,1
协作,1
智能化,1
转型,1
驱动,1
自由贸易,1
回国,1
交流,1
学士,1
信息管理,1
随后,1
全额,1
奖学金,1
法国,1
特鲁瓦,1
大学,1
攻读,1
知识,1
科研人员,1
组织,1
科研项目,1
选取,1
主持,1
评估,1
科技部,1
杰出青年,1
主楼,1
